Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
ffmpeg,BUG-054,h264_loopfilter.c,721,ff_h264_filter_mb,SEGV,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,5741_h264_loopfilter.c_732_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/h264_loopfilter.c#L721
ffmpeg,BUG-055,cavs.c,192,ff_cavs_load_intra_pred_luma,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,5460_cavs.c_196_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/cavs.c#L192
ffmpeg,BUG-056,half2float.c,44,ff_init_half2float_tables,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,6012_half2float.c_51_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavutil/half2float.c#L44
ffmpeg,BUG-057,ivi_dsp.c,767,ff_ivi_put_dc_pixel_8x8,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,6964_ivi_dsp.c_767_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L767
ffmpeg,BUG-058,jrevdct.c,1143,ff_j_rev_dct2,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,6965_jrevdct.c_1143_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/jrevdct.c#L1143
ffmpeg,BUG-059,cbs.c,863,ff_cbs_delete_unit,heap-buffer-overflow,CWE-823,cpp_cwe-823-pointer-offset,1,26422_cbs.c_871_local_cpp_cwe-823-pointer-offset,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/cbs.c#L863
ffmpeg,BUG-060,ivi_dsp.c,739,ff_ivi_col_slant4,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7060_ivi_dsp.c_739_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L739
ffmpeg,BUG-061,ivi_dsp.c,716,ff_ivi_row_slant4,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7137_ivi_dsp.c_716_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L716
ffmpeg,BUG-062,lsp.c,163,ff_acelp_lsp2lpc,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7505_lsp.c_163_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/lsp.c#L163
ffmpeg,BUG-063,ivi_dsp.c,637,ff_ivi_row_slant8,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7396_ivi_dsp.c_637_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L637
ffmpeg,BUG-064,ivi_dsp.c,459,ff_ivi_col_haar4,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7874_ivi_dsp.c_459_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L459
ffmpeg,BUG-065,ivi_dsp.c,436,ff_ivi_row_haar4,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7982_ivi_dsp.c_436_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L436
ffmpeg,BUG-066,ivi_dsp.c,290,ff_ivi_inverse_haar_8x8,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,8205_ivi_dsp.c_361_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L290
ffmpeg,BUG-067,ivi_dsp.c,336,ff_ivi_row_haar8,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,8281_ivi_dsp.c_335_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi_dsp.c#L336
ffmpeg,BUG-068,aacenc_pred.c,122,ff_aac_apply_main_pred,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3926_aacenc_pred.c_124_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_pred.c#L122
ffmpeg,BUG-069,aacenc_pred.c,161,ff_aac_adjust_common_pred,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,3885_aacenc_pred.c_161_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_pred.c#L161
ffmpeg,BUG-070,error_resilience.c,909,ff_er_frame_end,SEGV,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,6243_error_resilience.c_401_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/error_resilience.c#L909
ffmpeg,BUG-071,refstruct.c,134,ff_refstruct_unref,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,531_dovi_rpudec.c_57_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/refstruct.c#L134
ffmpeg,BUG-072,aacenc_ltp.c,58,ff_aac_ltp_insert_new_frame,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,2,6933_aacenc_ltp.c_58_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_ltp.c#L58
ffmpeg,BUG-073,aacenc_ltp.c,137,ff_aac_adjust_common_ltp,SEGV,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,6758_aacenc_ltp.c_137_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_ltp.c#L137
ffmpeg,BUG-074,h264_direct.c,123,ff_h264_direct_ref_list_init,SEGV,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,7518_h264_direct.c_137_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/h264_direct.c#L123
ffmpeg,BUG-075,packet.c,191,av_packet_free_side_data,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,715_encode.c_149_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/packet.c#L191
ffmpeg,BUG-076,mpegvideo.c,821,ff_init_block_index,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,8210_mpegvideo.c_821_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/mpegvideo.c#L821
ffmpeg,BUG-077,ivi.c,406,ff_ivi_init_tiles,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,8996_ivi.c_406_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/ivi.c#L406
ffmpeg,BUG-078,mpegvideo.c,798,ff_clean_intra_table_entries,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,932_mpegvideo.c_806_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/mpegvideo.c#L798
